,Date,Ticker,Mean Rating,Mean Description,# of Ratings,Buy (%),Overweight (%),Hold (%),Underweight (%),Sell (%),Mean Tgt Price,# of Tgt Prices,Tgt Price Implied Return (%)
199,29 Mar '18,BA,1.41,Overweight ,28,53.6,10.7,35.7,0.0,0.0,392.13,24,19.6
200,29 Dec '17,BA,1.56,Overweight ,25,40.0,8.0,52.0,0.0,0.0,292.19,21,-0.9
201,29 Sep '17,BA,1.54,Overweight ,26,42.3,7.7,50.0,0.0,0.0,270.36,22,6.4
202,30 Jun '17,BA,1.70,Overweight ,27,37.0,11.1,37.0,3.7,11.1,192.80,22,-2.5
203,31 Mar '17,BA,1.70,Overweight ,27,37.0,11.1,37.0,3.7,11.1,177.71,21,0.5
204,30 Dec '16,BA,1.60,Overweight ,25,40.0,12.0,40.0,4.0,4.0,157.58,19,1.2
205,30 Sep '16,BA,1.63,Overweight ,23,39.1,8.7,43.5,4.3,4.3,147.65,17,12.1
206,30 Jun '16,BA,1.65,Overweight ,23,39.1,4.3,47.8,4.3,4.3,145.06,18,11.7
207,31 Mar '16,BA,1.63,Overweight ,24,37.5,8.3,50.0,0.0,4.2,139.89,18,10.2
208,31 Dec '15,BA,1.50,Overweight ,24,54.2,8.3,29.2,0.0,8.3,164.05,20,13.5
209,30 Sep '15,BA,1.48,Overweight ,24,58.3,4.2,29.2,0.0,8.3,163.38,21,24.8
210,30 Jun '15,BA,1.50,Overweight ,24,54.2,8.3,29.2,0.0,8.3,161.75,20,16.6
211,31 Mar '15,BA,1.48,Overweight ,25,56.0,8.0,28.0,0.0,8.0,159.67,21,6.4
212,31 Dec '14,BA,1.46,Overweight ,25,56.0,4.0,36.0,0.0,4.0,147.33,21,13.4
216,01 Dec '19,MSFT,1.15,Buy ,33,81.8,6.1,12.1,0.0,0.0,161.48,29,6.7
217,30 Sep '19,MSFT,1.17,Buy ,32,81.3,9.4,6.3,0.0,3.1,155.39,28,11.8
218,28 Jun '19,MSFT,1.16,Buy ,31,83.9,6.5,6.5,0.0,3.2,144.21,28,7.7
219,29 Mar '19,MSFT,1.18,Buy ,34,82.4,5.9,8.8,0.0,2.9,127.23,30,7.9
220,31 Dec '18,MSFT,1.18,Buy ,36,80.6,8.3,8.3,0.0,2.8,125.83,34,23.9
221,28 Sep '18,MSFT,1.21,Buy ,34,79.4,5.9,11.8,0.0,2.9,124.35,33,8.7
222,29 Jun '18,MSFT,1.21,Buy ,34,79.4,5.9,11.8,0.0,2.9,112.74,32,14.3
223,29 Mar '18,MSFT,1.27,Overweight ,35,74.3,2.9,20.0,0.0,2.9,105.18,32,15.2
224,29 Dec '17,MSFT,1.28,Overweight ,34,73.5,2.9,20.6,0.0,2.9,93.43,30,9.2
225,29 Sep '17,MSFT,1.32,Overweight ,33,69.7,3.0,24.2,0.0,3.0,80.51,31,8.1
226,30 Jun '17,MSFT,1.32,Overweight ,36,69.4,2.8,25.0,0.0,2.8,74.92,33,8.7
227,31 Mar '17,MSFT,1.35,Overweight ,36,66.7,2.8,27.8,0.0,2.8,70.13,32,6.5
228,30 Dec '16,MSFT,1.40,Overweight ,35,62.9,5.7,25.7,0.0,5.7,65.75,32,5.8
229,30 Sep '16,MSFT,1.53,Overweight ,35,51.4,5.7,34.3,2.9,5.7,59.63,32,3.5
230,30 Jun '16,MSFT,1.46,Overweight ,35,57.1,8.6,25.7,2.9,5.7,58.11,33,13.6
231,31 Mar '16,MSFT,1.51,Overweight ,35,51.4,8.6,31.4,2.9,5.7,58.95,33,6.7
232,31 Dec '15,MSFT,1.51,Overweight ,36,50.0,11.1,30.6,2.8,5.6,57.42,33,3.5
233,30 Sep '15,MSFT,1.61,Overweight ,35,45.7,8.6,31.4,5.7,8.6,50.22,32,13.5
234,30 Jun '15,MSFT,1.65,Overweight ,34,44.1,5.9,35.3,5.9,8.8,49.87,30,12.9
235,31 Mar '15,MSFT,1.74,Overweight ,37,35.1,5.4,43.2,8.1,8.1,46.88,33,15.3
236,31 Dec '14,MSFT,1.62,Overweight ,37,43.2,5.4,40.5,5.4,5.4,49.91,34,7.5
240,01 Dec '19,T,1.68,Overweight ,28,35.7,7.1,50.0,0.0,7.1,39.08,24,4.6
241,30 Sep '19,T,1.62,Overweight ,26,38.5,7.7,50.0,0.0,3.8,36.09,22,-4.6
242,28 Jun '19,T,1.63,Overweight ,28,39.3,10.7,42.9,0.0,7.1,33.75,24,0.7
243,29 Mar '19,T,1.60,Overweight ,29,41.4,10.3,41.4,0.0,6.9,33.80,25,7.8
244,31 Dec '18,T,1.63,Overweight ,31,38.7,9.7,45.2,0.0,6.5,34.38,26,20.5
245,28 Sep '18,T,1.75,Hold ,32,31.3,6.3,53.1,0.0,9.4,35.30,28,5.1
246,29 Jun '18,T,1.72,Overweight ,30,30.0,10.0,53.3,0.0,6.7,36.96,26,15.1
247,29 Mar '18,T,1.68,Overweight ,30,30.0,10.0,56.7,0.0,3.3,40.15,25,12.6
248,29 Dec '17,T,1.77,Hold ,28,21.4,10.7,64.3,0.0,3.6,39.10,21,0.6
249,29 Sep '17,T,1.77,Hold ,28,21.4,10.7,64.3,0.0,3.6,40.86,21,4.3
250,30 Jun '17,T,1.73,Overweight ,28,25.0,10.7,60.7,0.0,3.6,41.67,21,10.4
251,31 Mar '17,T,1.66,Overweight ,25,28.0,12.0,60.0,0.0,0.0,43.06,17,3.6
252,30 Dec '16,T,1.63,Overweight ,26,34.6,11.5,50.0,0.0,3.8,41.75,20,-1.8
253,30 Sep '16,T,1.48,Overweight ,27,48.1,7.4,44.4,0.0,0.0,44.09,22,8.6
254,30 Jun '16,T,1.50,Overweight ,32,50.0,6.3,40.6,0.0,3.1,41.28,25,-4.5
255,31 Mar '16,T,1.53,Overweight ,33,48.5,6.1,39.4,3.0,3.0,38.58,26,-1.5
256,31 Dec '15,T,1.53,Overweight ,30,50.0,6.7,36.7,0.0,6.7,37.52,25,9.0
257,30 Sep '15,T,1.56,Overweight ,31,48.4,3.2,41.9,0.0,6.5,37.77,26,15.9
258,30 Jun '15,T,1.67,Overweight ,30,36.7,6.7,50.0,0.0,6.7,35.88,24,1.0
259,31 Mar '15,T,1.77,Hold ,31,22.6,6.5,67.7,0.0,3.2,34.63,24,6.0
260,31 Dec '14,T,1.84,Hold ,31,22.6,3.2,64.5,3.2,6.5,35.02,25,4.3
264,01 Dec '19,WMT,1.40,Overweight ,31,54.8,12.9,29.0,3.2,0.0,130.24,29,9.4
265,31 Oct '19,WMT,1.44,Overweight ,31,51.6,12.9,32.3,3.2,0.0,123.32,28,5.2
266,31 Jul '19,WMT,1.52,Overweight ,31,45.2,16.1,32.3,3.2,3.2,112.61,28,2.0
267,30 Apr '19,WMT,1.55,Overweight ,31,41.9,9.7,45.2,3.2,0.0,109.30,27,6.3
268,31 Jan '19,WMT,1.58,Overweight ,32,37.5,9.4,53.1,0.0,0.0,106.54,28,11.2
269,31 Oct '18,WMT,1.59,Overweight ,34,35.3,11.8,52.9,0.0,0.0,104.19,30,3.9
270,31 Jul '18,WMT,1.67,Overweight ,29,27.6,10.3,62.1,0.0,0.0,94.23,27,5.6
271,30 Apr '18,WMT,1.57,Overweight ,34,38.2,8.8,52.9,0.0,0.0,103.64,30,17.2
272,31 Jan '18,WMT,1.53,Overweight ,34,44.1,5.9,50.0,0.0,0.0,106.70,30,0.1
273,31 Oct '17,WMT,1.61,Overweight ,33,42.4,6.1,45.5,0.0,6.1,86.47,30,-1.0
274,31 Jul '17,WMT,1.61,Overweight ,32,43.8,3.1,46.9,0.0,6.3,81.71,31,2.2
275,28 Apr '17,WMT,1.75,Hold ,34,32.4,2.9,55.9,0.0,8.8,75.21,29,0.0
276,31 Jan '17,WMT,1.78,Hold ,34,29.4,2.9,58.8,0.0,8.8,73.87,29,10.7
277,31 Oct '16,WMT,1.77,Hold ,32,31.3,3.1,56.3,0.0,9.4,74.71,27,6.7
278,29 Jul '16,WMT,1.97,Hold ,29,10.3,6.9,72.4,0.0,10.3,69.91,25,-4.2
279,29 Apr '16,WMT,1.95,Hold ,30,13.3,3.3,73.3,0.0,10.0,65.31,26,-2.3
280,29 Jan '16,WMT,1.91,Hold ,29,13.8,3.4,75.9,0.0,6.9,63.75,24,-3.9
281,30 Oct '15,WMT,1.95,Hold ,29,10.3,3.4,79.3,0.0,6.9,63.26,23,10.5
282,31 Jul '15,WMT,1.84,Hold ,31,22.6,6.5,61.3,0.0,9.7,80.40,23,11.7
283,30 Apr '15,WMT,1.82,Hold ,31,22.6,9.7,58.1,0.0,9.7,85.22,23,9.2
284,30 Jan '15,WMT,1.83,Hold ,30,23.3,6.7,60.0,0.0,10.0,84.47,23,-0.6
288,01 Dec '19,MCD,1.31,Overweight ,32,65.6,6.3,28.1,0.0,0.0,224.39,28,15.4
289,30 Sep '19,MCD,1.26,Overweight ,31,71.0,6.5,22.6,0.0,0.0,233.92,26,8.9
290,28 Jun '19,MCD,1.27,Overweight ,30,70.0,6.7,23.3,0.0,0.0,217.64,25,4.8
291,29 Mar '19,MCD,1.26,Overweight ,29,69.0,10.3,20.7,0.0,0.0,198.38,24,4.5
292,31 Dec '18,MCD,1.29,Overweight ,33,66.7,9.1,24.2,0.0,0.0,194.76,29,9.7
293,28 Sep '18,MCD,1.40,Overweight ,31,54.8,9.7,35.5,0.0,0.0,182.30,27,9.0
294,29 Jun '18,MCD,1.40,Overweight ,31,54.8,9.7,35.5,0.0,0.0,186.33,27,18.9
295,29 Mar '18,MCD,1.36,Overweight ,32,59.4,9.4,31.3,0.0,0.0,186.42,26,19.2
296,29 Dec '17,MCD,1.37,Overweight ,34,58.8,8.8,32.4,0.0,0.0,180.43,28,4.8
297,29 Sep '17,MCD,1.38,Overweight ,33,57.6,9.1,33.3,0.0,0.0,172.22,27,9.9
298,30 Jun '17,MCD,1.39,Overweight ,32,56.3,9.4,34.4,0.0,0.0,158.72,25,3.6
299,31 Mar '17,MCD,1.57,Overweight ,30,40.0,6.7,53.3,0.0,0.0,134.18,22,3.5
300,30 Dec '16,MCD,1.53,Overweight ,31,45.2,6.5,45.2,3.2,0.0,128.31,26,5.4
301,30 Sep '16,MCD,1.60,Overweight ,31,38.7,6.5,51.6,3.2,0.0,129.74,23,12.5
302,30 Jun '16,MCD,1.57,Overweight ,30,43.3,3.3,50.0,3.3,0.0,130.96,23,8.8
303,31 Mar '16,MCD,1.55,Overweight ,31,45.2,3.2,48.4,3.2,0.0,128.26,23,2.1
304,31 Dec '15,MCD,1.62,Overweight ,30,40.0,0.0,56.7,3.3,0.0,119.73,22,1.3
305,30 Sep '15,MCD,1.72,Overweight ,29,31.0,0.0,62.1,6.9,0.0,103.76,21,5.3
306,30 Jun '15,MCD,1.74,Overweight ,27,29.6,0.0,63.0,7.4,0.0,103.58,19,9.0
307,31 Mar '15,MCD,1.81,Hold ,27,22.2,0.0,70.4,7.4,0.0,100.11,18,2.7
308,31 Dec '14,MCD,1.84,Hold ,28,17.9,0.0,78.6,3.6,0.0,95.64,20,2.1
312,01 Dec '19,ADBE,1.41,Overweight ,29,55.2,6.9,37.9,0.0,0.0,318.52,25,2.9
313,29 Nov '19,ADBE,1.41,Overweight ,29,55.2,6.9,37.9,0.0,0.0,318.52,25,2.9
314,30 Aug '19,ADBE,1.43,Overweight ,28,53.6,7.1,39.3,0.0,0.0,314.79,24,10.6
315,31 May '19,ADBE,1.40,Overweight ,30,56.7,6.7,36.7,0.0,0.0,298.16,25,10.1
316,28 Feb '19,ADBE,1.42,Overweight ,32,53.1,9.4,37.5,0.0,0.0,291.21,28,10.9
317,30 Nov '18,ADBE,1.37,Overweight ,31,58.1,9.7,32.3,0.0,0.0,292.19,27,16.5
318,31 Aug '18,ADBE,1.43,Overweight ,30,56.7,6.7,33.3,0.0,3.3,271.27,26,2.9
319,31 May '18,ADBE,1.38,Overweight ,30,56.7,10.0,33.3,0.0,0.0,247.04,27,-0.9
320,28 Feb '18,ADBE,1.33,Overweight ,32,62.5,9.4,28.1,0.0,0.0,216.66,29,3.6
321,30 Nov '17,ADBE,1.29,Overweight ,33,66.7,9.1,24.2,0.0,0.0,182.97,30,0.8
322,31 Aug '17,ADBE,1.30,Overweight ,32,68.8,9.4,18.8,0.0,3.1,160.09,29,3.2
323,31 May '17,ADBE,1.26,Overweight ,33,69.7,9.1,21.2,0.0,0.0,144.55,29,1.9
324,28 Feb '17,ADBE,1.35,Overweight ,30,60.0,10.0,30.0,0.0,0.0,122.60,25,3.6
325,30 Nov '16,ADBE,1.33,Overweight ,29,62.1,10.3,27.6,0.0,0.0,120.36,25,17.1
326,31 Aug '16,ADBE,1.28,Overweight ,27,66.7,11.1,22.2,0.0,0.0,112.12,25,9.6
327,31 May '16,ADBE,1.31,Overweight ,24,62.5,12.5,25.0,0.0,0.0,110.09,22,10.7
328,29 Feb '16,ADBE,1.33,Overweight ,26,61.5,11.5,26.9,0.0,0.0,103.42,24,21.5
329,30 Nov '15,ADBE,1.35,Overweight ,27,59.3,11.1,29.6,0.0,0.0,91.38,24,-0.1
330,31 Aug '15,ADBE,1.35,Overweight ,23,60.9,8.7,30.4,0.0,0.0,88.50,22,12.6
331,29 May '15,ADBE,1.40,Overweight ,24,58.3,4.2,37.5,0.0,0.0,85.09,23,7.6
332,27 Feb '15,ADBE,1.40,Overweight ,24,58.3,4.2,37.5,0.0,0.0,84.05,21,6.3
333,28 Nov '14,ADBE,1.46,Overweight ,23,52.2,4.3,43.5,0.0,0.0,78.90,20,7.1
337,01 Dec '19,NFLX,1.48,Overweight ,42,59.5,4.8,26.2,0.0,9.5,366.15,37,16.4
338,30 Sep '19,NFLX,1.38,Overweight ,40,65.0,5.0,25.0,0.0,5.0,393.26,35,46.9
339,28 Jun '19,NFLX,1.35,Overweight ,40,67.5,5.0,22.5,0.0,5.0,410.99,35,11.9
340,29 Mar '19,NFLX,1.43,Overweight ,43,60.5,7.0,25.6,0.0,7.0,399.85,38,12.1
341,31 Dec '18,NFLX,1.40,Overweight ,40,57.5,10.0,30.0,0.0,2.5,398.64,36,48.9
342,28 Sep '18,NFLX,1.52,Overweight ,44,52.3,9.1,29.5,0.0,9.1,377.00,42,0.8
343,29 Jun '18,NFLX,1.50,Overweight ,42,50.0,9.5,35.7,0.0,4.8,353.59,40,-9.7
344,29 Mar '18,NFLX,1.55,Overweight ,48,47.9,10.4,33.3,0.0,8.3,285.05,43,-3.5
345,29 Dec '17,NFLX,1.48,Overweight ,44,54.5,9.1,29.5,0.0,6.8,216.02,40,12.5
346,29 Sep '17,NFLX,1.47,Overweight ,43,55.8,9.3,27.9,0.0,7.0,187.97,39,3.7
347,30 Jun '17,NFLX,1.51,Overweight ,41,51.2,9.8,31.7,0.0,7.3,159.11,36,6.5
348,31 Mar '17,NFLX,1.49,Overweight ,43,53.5,9.3,30.2,0.0,7.0,152.68,38,3.3
349,30 Dec '16,NFLX,1.60,Overweight ,42,50.0,7.1,28.6,2.4,11.9,125.22,37,1.1
350,30 Sep '16,NFLX,1.64,Overweight ,42,47.6,7.1,28.6,2.4,14.3,104.00,37,5.5
351,30 Jun '16,NFLX,1.57,Overweight ,43,48.8,7.0,32.6,4.7,7.0,116.36,39,27.2
352,31 Mar '16,NFLX,1.56,Overweight ,44,47.7,6.8,38.6,0.0,6.8,126.20,40,23.4
353,31 Dec '15,NFLX,1.55,Overweight ,44,50.0,2.3,40.9,2.3,4.5,122.75,40,7.3
354,30 Sep '15,NFLX,1.57,Overweight ,43,46.5,9.3,34.9,2.3,7.0,117.76,38,14.0
355,30 Jun '15,NFLX,1.56,Overweight ,44,47.7,9.1,34.1,2.3,6.8,89.06,39,-5.1
356,31 Mar '15,NFLX,1.63,Overweight ,44,40.9,6.8,43.2,4.5,4.5,62.99,38,5.8
357,31 Dec '14,NFLX,1.69,Overweight ,42,33.3,4.8,54.8,4.8,2.4,58.76,37,20.4
361,01 Dec '19,NKE,1.38,Overweight ,30,60.0,10.0,26.7,0.0,3.3,103.59,28,10.8
362,29 Nov '19,NKE,1.38,Overweight ,30,60.0,10.0,26.7,0.0,3.3,103.23,28,10.4
363,30 Aug '19,NKE,1.32,Overweight ,28,64.3,10.7,21.4,3.6,0.0,94.77,26,12.2
364,31 May '19,NKE,1.30,Overweight ,30,66.7,10.0,20.0,3.3,0.0,92.44,27,19.8
365,28 Feb '19,NKE,1.33,Overweight ,33,63.6,9.1,24.2,3.0,0.0,88.33,30,3.0
366,30 Nov '18,NKE,1.50,Overweight ,36,47.2,8.3,41.7,2.8,0.0,87.75,32,16.8
367,31 Aug '18,NKE,1.50,Overweight ,37,48.6,10.8,35.1,2.7,2.7,83.09,32,1.1
368,31 May '18,NKE,1.53,Overweight ,32,40.6,15.6,40.6,3.1,0.0,71.74,28,-0.1
369,28 Feb '18,NKE,1.53,Overweight ,36,41.7,13.9,41.7,2.8,0.0,67.90,30,1.3
370,30 Nov '17,NKE,1.58,Overweight ,36,36.1,13.9,47.2,2.8,0.0,59.17,31,-2.1
371,31 Aug '17,NKE,1.51,Overweight ,36,44.4,11.1,41.7,2.8,0.0,60.68,30,14.9
372,31 May '17,NKE,1.46,Overweight ,36,50.0,11.1,36.1,2.8,0.0,61.17,30,15.4
373,28 Feb '17,NKE,1.44,Overweight ,35,51.4,11.4,34.3,2.9,0.0,61.87,31,8.2
374,30 Nov '16,NKE,1.39,Overweight ,33,57.6,9.1,30.3,3.0,0.0,62.61,29,25.0
375,31 Aug '16,NKE,1.36,Overweight ,32,59.4,9.4,31.3,0.0,0.0,65.37,28,13.4
376,31 May '16,NKE,1.21,Buy ,31,77.4,3.2,19.4,0.0,0.0,72.16,29,30.7
377,29 Feb '16,NKE,1.21,Buy ,33,75.8,6.1,18.2,0.0,0.0,72.43,30,17.6
378,30 Nov '15,NKE,1.19,Buy ,32,78.1,6.3,15.6,0.0,0.0,69.88,29,5.7
379,31 Aug '15,NKE,1.27,Overweight ,30,70.0,6.7,23.3,0.0,0.0,60.10,26,7.6
380,29 May '15,NKE,1.37,Overweight ,30,60.0,6.7,33.3,0.0,0.0,54.96,26,8.1
381,27 Feb '15,NKE,1.39,Overweight ,31,58.1,6.5,35.5,0.0,0.0,51.40,25,5.8
382,28 Nov '14,NKE,1.38,Overweight ,28,60.7,3.6,35.7,0.0,0.0,48.73,22,-1.8
386,01 Dec '19,SBUX,1.66,Overweight ,29,34.5,0.0,65.5,0.0,0.0,94.67,24,10.8
387,30 Sep '19,SBUX,1.69,Overweight ,29,31.0,0.0,69.0,0.0,0.0,96.68,25,9.3
388,28 Jun '19,SBUX,1.65,Overweight ,30,33.3,3.3,63.3,0.0,0.0,80.46,24,-4.0
389,29 Mar '19,SBUX,1.61,Overweight ,27,37.0,3.7,59.3,0.0,0.0,70.00,21,-5.8
390,31 Dec '18,SBUX,1.52,Overweight ,31,45.2,6.5,48.4,0.0,0.0,69.48,25,7.9
391,28 Sep '18,SBUX,1.57,Overweight ,29,41.4,3.4,55.2,0.0,0.0,58.04,23,2.1
392,29 Jun '18,SBUX,1.52,Overweight ,30,46.7,3.3,50.0,0.0,0.0,60.71,25,24.3
393,29 Mar '18,SBUX,1.36,Overweight ,32,62.5,3.1,34.4,0.0,0.0,64.42,27,11.3
394,29 Dec '17,SBUX,1.29,Overweight ,34,67.6,5.9,26.5,0.0,0.0,62.69,29,9.2
395,29 Sep '17,SBUX,1.30,Overweight ,33,66.7,6.1,27.3,0.0,0.0,63.87,28,18.9
396,30 Jun '17,SBUX,1.24,Buy ,34,73.5,5.9,20.6,0.0,0.0,66.57,30,14.2
