,Date,Ticker,Mean Rating,Mean Description,# of Ratings,Buy (%),Overweight (%),Hold (%),Underweight (%),Sell (%),Mean Tgt Price,# of Tgt Prices,Tgt Price Implied Return (%)
397,31 Mar '17,SBUX,1.30,Overweight ,33,66.7,6.1,27.3,0.0,0.0,64.05,28,9.7
398,30 Dec '16,SBUX,1.25,Overweight ,32,71.9,6.3,21.9,0.0,0.0,64.32,28,15.9
399,30 Sep '16,SBUX,1.21,Buy ,31,74.2,9.7,16.1,0.0,0.0,65.62,26,21.2
400,30 Jun '16,SBUX,1.21,Buy ,29,75.9,6.9,17.2,0.0,0.0,67.80,25,18.7
401,31 Mar '16,SBUX,1.20,Buy ,28,78.6,3.6,17.9,0.0,0.0,68.13,24,14.1
402,31 Dec '15,SBUX,1.22,Buy ,29,72.4,10.3,17.2,0.0,0.0,67.92,24,13.1
403,30 Sep '15,SBUX,1.19,Buy ,29,75.9,10.3,13.8,0.0,0.0,63.92,24,12.5
404,30 Jun '15,SBUX,1.25,Overweight ,28,71.4,7.1,21.4,0.0,0.0,56.61,23,5.6
405,31 Mar '15,SBUX,1.31,Overweight ,26,65.4,7.7,26.9,0.0,0.0,49.38,21,4.3
406,31 Dec '14,SBUX,1.17,Buy ,26,76.9,11.5,11.5,0.0,0.0,45.40,21,10.7
410,01 Dec '19,LOW,1.30,Overweight ,32,68.8,6.3,21.9,3.1,0.0,132.44,27,12.9
411,31 Oct '19,LOW,1.34,Overweight ,31,64.5,6.5,25.8,3.2,0.0,123.12,26,10.3
412,31 Jul '19,LOW,1.37,Overweight ,31,58.1,9.7,32.3,0.0,0.0,114.18,28,12.6
413,30 Apr '19,LOW,1.40,Overweight ,31,54.8,12.9,29.0,3.2,0.0,117.64,28,4.0
414,31 Jan '19,LOW,1.36,Overweight ,33,57.6,12.1,30.3,0.0,0.0,110.37,30,14.8
415,31 Oct '18,LOW,1.28,Overweight ,32,65.6,12.5,21.9,0.0,0.0,119.03,30,25.0
416,31 Jul '18,LOW,1.29,Overweight ,34,64.7,11.8,23.5,0.0,0.0,108.68,31,9.4
417,30 Apr '18,LOW,1.32,Overweight ,33,60.6,15.2,24.2,0.0,0.0,104.58,31,26.9
418,31 Jan '18,LOW,1.39,Overweight ,33,54.5,12.1,33.3,0.0,0.0,107.32,31,2.5
419,31 Oct '17,LOW,1.52,Overweight ,31,45.2,9.7,41.9,3.2,0.0,84.68,28,5.9
420,31 Jul '17,LOW,1.48,Overweight ,29,48.3,10.3,37.9,3.4,0.0,89.00,27,15.0
421,28 Apr '17,LOW,1.47,Overweight ,30,50.0,10.0,36.7,3.3,0.0,87.12,26,2.6
422,31 Jan '17,LOW,1.42,Overweight ,30,53.3,10.0,36.7,0.0,0.0,81.48,25,11.5
423,31 Oct '16,LOW,1.35,Overweight ,30,60.0,10.0,30.0,0.0,0.0,84.16,25,26.3
424,29 Jul '16,LOW,1.30,Overweight ,30,66.7,6.7,26.7,0.0,0.0,87.48,25,6.3
425,29 Apr '16,LOW,1.35,Overweight ,26,61.5,7.7,30.8,0.0,0.0,83.26,23,9.5
426,29 Jan '16,LOW,1.30,Overweight ,27,66.7,7.4,25.9,0.0,0.0,83.68,22,16.8
427,30 Oct '15,LOW,1.38,Overweight ,28,60.7,3.6,35.7,0.0,0.0,80.70,23,9.3
428,31 Jul '15,LOW,1.39,Overweight ,27,59.3,3.7,37.0,0.0,0.0,78.82,22,13.6
429,30 Apr '15,LOW,1.48,Overweight ,28,50.0,3.6,46.4,0.0,0.0,79.39,23,15.3
430,30 Jan '15,LOW,1.48,Overweight ,28,50.0,3.6,46.4,0.0,0.0,70.71,24,4.4
434,01 Dec '19,MU,1.50,Overweight ,35,54.3,5.7,31.4,2.9,5.7,54.94,30,15.6
435,29 Nov '19,MU,1.50,Overweight ,35,54.3,5.7,31.4,2.9,5.7,54.94,30,15.6
436,30 Aug '19,MU,1.53,Overweight ,32,53.1,3.1,34.4,3.1,6.3,47.88,26,5.8
437,31 May '19,MU,1.54,Overweight ,35,54.3,2.9,31.4,2.9,8.6,47.14,28,44.6
438,28 Feb '19,MU,1.42,Overweight ,33,57.6,3.0,36.4,3.0,0.0,48.23,26,18.0
439,30 Nov '18,MU,1.40,Overweight ,34,61.8,0.0,35.3,2.9,0.0,61.95,28,60.6
440,31 Aug '18,MU,1.29,Overweight ,34,70.6,5.9,20.6,0.0,2.9,81.45,29,55.1
441,31 May '18,MU,1.28,Overweight ,30,73.3,3.3,20.0,0.0,3.3,77.47,28,34.5
442,28 Feb '18,MU,1.16,Buy ,31,80.6,6.5,12.9,0.0,0.0,59.67,27,22.2
443,30 Nov '17,MU,1.20,Buy ,32,75.0,9.4,15.6,0.0,0.0,53.93,27,27.2
444,31 Aug '17,MU,1.19,Buy ,31,77.4,6.5,16.1,0.0,0.0,43.28,27,35.4
445,31 May '17,MU,1.19,Buy ,31,77.4,6.5,16.1,0.0,0.0,39.00,26,26.7
446,28 Feb '17,MU,1.17,Buy ,29,79.3,6.9,13.8,0.0,0.0,31.25,24,33.3
447,30 Nov '16,MU,1.38,Overweight ,26,61.5,7.7,23.1,7.7,0.0,21.37,19,9.4
448,31 Aug '16,MU,1.41,Overweight ,27,63.0,7.4,18.5,7.4,3.7,16.55,20,0.4
449,31 May '16,MU,1.50,Overweight ,32,56.3,3.1,28.1,9.4,3.1,13.92,26,9.5
450,29 Feb '16,MU,1.37,Overweight ,34,61.8,8.8,23.5,5.9,0.0,16.38,28,54.0
451,30 Nov '15,MU,1.43,Overweight ,35,60.0,5.7,25.7,5.7,2.9,21.10,29,32.5
452,31 Aug '15,MU,1.42,Overweight ,36,58.3,5.6,33.3,0.0,2.8,26.48,33,61.4
453,29 May '15,MU,1.38,Overweight ,36,61.1,8.3,27.8,0.0,2.8,37.66,32,34.8
454,27 Feb '15,MU,1.24,Buy ,35,74.3,8.6,14.3,0.0,2.9,42.02,32,37.0
455,28 Nov '14,MU,1.33,Overweight ,35,65.7,8.6,22.9,0.0,2.9,41.50,31,15.4
459,01 Dec '19,CSCO,1.46,Overweight ,28,50.0,7.1,42.9,0.0,0.0,52.43,23,15.7
460,31 Oct '19,CSCO,1.44,Overweight ,27,51.9,7.4,40.7,0.0,0.0,55.09,22,16.0
461,31 Jul '19,CSCO,1.38,Overweight ,26,57.7,7.7,34.6,0.0,0.0,59.10,21,6.7
462,30 Apr '19,CSCO,1.32,Overweight ,28,64.3,10.7,21.4,3.6,0.0,55.74,23,-0.4
463,31 Jan '19,CSCO,1.28,Overweight ,29,69.0,6.9,24.1,0.0,0.0,52.29,24,10.6
464,31 Oct '18,CSCO,1.33,Overweight ,30,63.3,6.7,30.0,0.0,0.0,51.00,26,11.5
465,31 Jul '18,CSCO,1.33,Overweight ,30,63.3,6.7,30.0,0.0,0.0,49.10,27,16.1
466,30 Apr '18,CSCO,1.33,Overweight ,29,62.1,10.3,27.6,0.0,0.0,48.24,26,8.9
467,31 Jan '18,CSCO,1.39,Overweight ,28,57.1,7.1,35.7,0.0,0.0,41.07,23,-1.1
468,31 Oct '17,CSCO,1.38,Overweight ,28,57.1,10.7,32.1,0.0,0.0,35.70,23,4.5
469,31 Jul '17,CSCO,1.41,Overweight ,33,54.5,9.1,36.4,0.0,0.0,35.66,28,13.4
470,28 Apr '17,CSCO,1.47,Overweight ,35,48.6,8.6,42.9,0.0,0.0,35.66,29,4.7
471,31 Jan '17,CSCO,1.51,Overweight ,34,47.1,8.8,41.2,0.0,2.9,32.61,28,6.1
472,31 Oct '16,CSCO,1.51,Overweight ,34,47.1,8.8,41.2,0.0,2.9,32.78,27,6.8
473,29 Jul '16,CSCO,1.50,Overweight ,35,45.7,14.3,37.1,0.0,2.9,30.92,28,1.3
474,29 Apr '16,CSCO,1.49,Overweight ,38,47.4,13.2,36.8,0.0,2.6,29.42,31,7.0
475,29 Jan '16,CSCO,1.51,Overweight ,37,51.4,10.8,29.7,0.0,8.1,30.27,31,27.3
476,30 Oct '15,CSCO,1.58,Overweight ,40,45.0,15.0,30.0,0.0,10.0,31.25,33,8.3
477,31 Jul '15,CSCO,1.53,Overweight ,38,47.4,15.8,28.9,0.0,7.9,31.53,31,10.9
478,30 Apr '15,CSCO,1.54,Overweight ,41,51.2,12.2,24.4,2.4,9.8,29.98,33,4.0
479,30 Jan '15,CSCO,1.55,Overweight ,43,51.2,9.3,27.9,2.3,9.3,28.08,36,6.5
483,01 Dec '19,PEP,1.71,Overweight ,21,28.6,9.5,57.1,0.0,4.8,139.65,17,2.8
484,30 Sep '19,PEP,1.72,Overweight ,23,30.4,8.7,52.2,4.3,4.3,135.16,19,-1.4
485,28 Jun '19,PEP,1.72,Overweight ,23,30.4,4.3,60.9,0.0,4.3,127.95,19,-2.4
486,29 Mar '19,PEP,1.74,Overweight ,25,32.0,4.0,56.0,0.0,8.0,118.30,20,-3.5
487,31 Dec '18,PEP,1.70,Overweight ,23,30.4,8.7,56.5,0.0,4.3,116.71,21,5.6
488,28 Sep '18,PEP,1.67,Overweight ,26,38.5,3.8,50.0,0.0,7.7,118.52,23,6.0
489,29 Jun '18,PEP,1.56,Overweight ,26,42.3,11.5,42.3,0.0,3.8,115.52,23,6.1
490,29 Mar '18,PEP,1.50,Overweight ,26,46.2,7.7,46.2,0.0,0.0,123.73,22,13.4
491,29 Dec '17,PEP,1.46,Overweight ,27,48.1,11.1,40.7,0.0,0.0,123.68,24,3.1
492,29 Sep '17,PEP,1.50,Overweight ,24,45.8,8.3,45.8,0.0,0.0,122.76,23,10.2
493,30 Jun '17,PEP,1.41,Overweight ,23,56.5,4.3,39.1,0.0,0.0,122.75,20,6.3
494,31 Mar '17,PEP,1.40,Overweight ,25,56.0,8.0,36.0,0.0,0.0,117.24,21,4.8
495,30 Dec '16,PEP,1.41,Overweight ,23,52.2,13.0,34.8,0.0,0.0,116.48,20,11.3
496,30 Sep '16,PEP,1.46,Overweight ,23,47.8,13.0,39.1,0.0,0.0,117.74,19,8.2
497,30 Jun '16,PEP,1.46,Overweight ,23,47.8,13.0,39.1,0.0,0.0,111.44,18,5.2
498,31 Mar '16,PEP,1.48,Overweight ,29,48.3,6.9,44.8,0.0,0.0,106.38,24,3.8
499,31 Dec '15,PEP,1.46,Overweight ,26,50.0,7.7,42.3,0.0,0.0,105.86,21,5.9
500,30 Sep '15,PEP,1.43,Overweight ,28,57.1,7.1,32.1,0.0,3.6,104.41,22,10.7
501,30 Jun '15,PEP,1.46,Overweight ,26,53.8,7.7,34.6,0.0,3.8,105.62,21,13.2
502,31 Mar '15,PEP,1.46,Overweight ,27,51.9,11.1,33.3,0.0,3.7,106.55,22,11.4
503,31 Dec '14,PEP,1.46,Overweight ,25,52.0,12.0,32.0,0.0,4.0,100.52,22,6.3
507,01 Dec '19,XOM,1.86,Hold ,25,16.0,4.0,76.0,0.0,4.0,78.64,21,15.4
508,30 Sep '19,XOM,1.82,Hold ,25,20.0,4.0,72.0,0.0,4.0,79.75,20,12.9
509,28 Jun '19,XOM,1.80,Hold ,23,26.1,4.3,60.9,0.0,8.7,85.50,19,11.6
510,29 Mar '19,XOM,1.73,Overweight ,24,33.3,4.2,54.2,0.0,8.3,84.47,19,4.5
511,31 Dec '18,XOM,1.84,Hold ,25,32.0,0.0,52.0,0.0,16.0,87.05,21,27.7
512,28 Sep '18,XOM,1.83,Hold ,24,29.2,0.0,58.3,0.0,12.5,89.51,21,5.3
513,29 Jun '18,XOM,1.78,Hold ,23,34.8,0.0,52.2,0.0,13.0,87.87,20,6.2
514,29 Mar '18,XOM,1.85,Hold ,27,33.3,0.0,48.1,0.0,18.5,85.17,23,14.2
515,29 Dec '17,XOM,1.96,Hold ,27,25.9,0.0,51.9,0.0,22.2,84.91,22,1.5
516,29 Sep '17,XOM,1.93,Hold ,28,28.6,0.0,50.0,0.0,21.4,82.24,23,0.3
517,30 Jun '17,XOM,1.96,Hold ,28,25.0,0.0,53.6,0.0,21.4,86.19,24,6.8
518,31 Mar '17,XOM,2.00,Hold ,28,21.4,0.0,57.1,0.0,21.4,87.00,23,6.1
519,30 Dec '16,XOM,2.02,Hold ,28,21.4,3.6,50.0,0.0,25.0,87.96,24,-2.6
520,30 Sep '16,XOM,1.92,Hold ,26,26.9,7.7,42.3,0.0,23.1,89.43,22,2.5
521,30 Jun '16,XOM,1.92,Hold ,26,26.9,7.7,42.3,0.0,23.1,86.59,22,-7.6
522,31 Mar '16,XOM,1.93,Hold ,27,29.6,7.4,37.0,0.0,25.9,81.46,23,-2.6
523,31 Dec '15,XOM,1.88,Hold ,26,26.9,7.7,46.2,0.0,19.2,83.10,20,6.6
524,30 Sep '15,XOM,1.87,Hold ,26,26.9,3.8,53.8,0.0,15.4,82.32,19,10.7
525,30 Jun '15,XOM,1.84,Hold ,25,28.0,0.0,60.0,0.0,12.0,94.35,17,13.4
526,31 Mar '15,XOM,1.85,Hold ,26,26.9,0.0,61.5,0.0,11.5,93.85,20,10.4
527,31 Dec '14,XOM,1.76,Hold ,25,32.0,4.0,52.0,4.0,8.0,99.10,20,7.2
531,01 Dec '19,VZ,1.70,Overweight ,27,29.6,0.0,70.4,0.0,0.0,62.14,22,3.1
532,30 Sep '19,VZ,1.64,Overweight ,25,36.0,0.0,64.0,0.0,0.0,60.75,20,0.6
533,28 Jun '19,VZ,1.58,Overweight ,26,42.3,0.0,57.7,0.0,0.0,60.14,21,5.3
534,29 Mar '19,VZ,1.62,Overweight ,30,40.0,0.0,56.7,3.3,0.0,59.91,23,1.3
535,31 Dec '18,VZ,1.60,Overweight ,30,40.0,0.0,60.0,0.0,0.0,58.79,24,4.6
536,28 Sep '18,VZ,1.55,Overweight ,31,45.2,0.0,54.8,0.0,0.0,56.62,26,6.0
537,29 Jun '18,VZ,1.50,Overweight ,30,50.0,0.0,50.0,0.0,0.0,55.67,25,10.7
538,29 Mar '18,VZ,1.69,Overweight ,32,31.3,0.0,68.8,0.0,0.0,55.72,25,16.5
539,29 Dec '17,VZ,1.77,Hold ,30,23.3,0.0,76.7,0.0,0.0,51.70,23,-2.3
540,29 Sep '17,VZ,1.85,Hold ,31,16.1,0.0,80.6,3.2,0.0,49.65,23,0.3
541,30 Jun '17,VZ,1.83,Hold ,32,18.8,0.0,78.1,3.1,0.0,49.67,24,11.2
542,31 Mar '17,VZ,1.78,Hold ,30,23.3,0.0,73.3,3.3,0.0,51.80,20,6.3
543,30 Dec '16,VZ,1.72,Overweight ,29,27.6,3.4,65.5,3.4,0.0,52.14,21,-2.3
544,30 Sep '16,VZ,1.76,Hold ,27,22.2,3.7,74.1,0.0,0.0,54.63,19,5.1
545,30 Jun '16,VZ,1.73,Overweight ,31,25.8,3.2,71.0,0.0,0.0,52.26,23,-6.4
546,31 Mar '16,VZ,1.62,Overweight ,33,36.4,6.1,54.5,3.0,0.0,51.36,25,-5.0
547,31 Dec '15,VZ,1.61,Overweight ,32,37.5,6.3,53.1,3.1,0.0,50.42,24,9.1
548,30 Sep '15,VZ,1.53,Overweight ,31,48.4,6.5,38.7,3.2,3.2,50.75,24,16.6
549,30 Jun '15,VZ,1.63,Overweight ,27,37.0,7.4,51.9,0.0,3.7,51.57,21,10.6
550,31 Mar '15,VZ,1.48,Overweight ,32,50.0,6.3,40.6,3.1,0.0,51.52,26,5.9
551,31 Dec '14,VZ,1.42,Overweight ,33,54.5,6.1,39.4,0.0,0.0,52.58,25,12.4
555,01 Dec '19,CMCSA,1.22,Buy ,34,73.5,8.8,17.6,0.0,0.0,52.00,32,17.8
556,30 Sep '19,CMCSA,1.20,Buy ,32,75.0,9.4,15.6,0.0,0.0,50.60,30,12.2
557,28 Jun '19,CMCSA,1.27,Overweight ,32,68.8,9.4,21.9,0.0,0.0,48.14,29,13.9
558,29 Mar '19,CMCSA,1.30,Overweight ,33,63.6,12.1,24.2,0.0,0.0,44.93,29,12.4
559,31 Dec '18,CMCSA,1.30,Overweight ,32,62.5,15.6,21.9,0.0,0.0,44.45,29,30.5
560,28 Sep '18,CMCSA,1.31,Overweight ,24,58.3,20.8,20.8,0.0,0.0,43.64,22,23.2
561,29 Jun '18,CMCSA,1.27,Overweight ,22,68.2,9.1,22.7,0.0,0.0,43.55,20,32.7
562,29 Mar '18,CMCSA,1.26,Overweight ,25,68.0,12.0,20.0,0.0,0.0,47.82,23,40.0
563,29 Dec '17,CMCSA,1.12,Buy ,33,81.8,12.1,6.1,0.0,0.0,45.03,30,12.4
564,29 Sep '17,CMCSA,1.11,Buy ,32,84.4,9.4,6.3,0.0,0.0,45.86,29,19.2
565,30 Jun '17,CMCSA,1.14,Buy ,32,81.3,9.4,9.4,0.0,0.0,45.21,29,16.2
566,31 Mar '17,CMCSA,1.17,Buy ,30,76.7,13.3,10.0,0.0,0.0,42.06,26,11.9
567,30 Dec '16,CMCSA,1.17,Buy ,29,75.9,13.8,10.3,0.0,0.0,37.85,25,9.6
568,30 Sep '16,CMCSA,1.20,Buy ,28,75.0,10.7,14.3,0.0,0.0,37.64,24,13.5
569,30 Jun '16,CMCSA,1.18,Buy ,28,78.6,7.1,14.3,0.0,0.0,35.32,25,8.4
570,31 Mar '16,CMCSA,1.23,Buy ,31,71.0,12.9,16.1,0.0,0.0,34.41,27,12.7
571,31 Dec '15,CMCSA,1.27,Overweight ,28,67.9,10.7,21.4,0.0,0.0,34.82,25,23.4
572,30 Sep '15,CMCSA,1.25,Overweight ,30,66.7,16.7,16.7,0.0,0.0,35.10,26,23.4
573,30 Jun '15,CMCSA,1.21,Buy ,29,75.9,6.9,17.2,0.0,0.0,33.54,25,11.5
574,31 Mar '15,CMCSA,1.21,Buy ,26,73.1,11.5,15.4,0.0,0.0,32.78,23,16.1
575,31 Dec '14,CMCSA,1.22,Buy ,25,72.0,12.0,16.0,0.0,0.0,31.93,23,10.1
579,01 Dec '19,TGT,1.43,Overweight ,28,57.1,7.1,32.1,0.0,3.6,137.48,25,10.0
580,31 Oct '19,TGT,1.44,Overweight ,26,53.8,7.7,34.6,3.8,0.0,114.57,23,7.2
581,31 Jul '19,TGT,1.60,Overweight ,26,38.5,7.7,50.0,3.8,0.0,90.05,21,4.2
582,30 Apr '19,TGT,1.71,Overweight ,26,30.8,7.7,53.8,3.8,3.8,86.95,21,12.3
583,31 Jan '19,TGT,1.76,Hold ,27,22.2,11.1,63.0,0.0,3.7,80.78,23,10.7
584,31 Oct '18,TGT,1.88,Hold ,26,11.5,11.5,69.2,3.8,3.8,88.57,21,5.9
585,31 Jul '18,TGT,1.90,Hold ,25,16.0,12.0,60.0,0.0,12.0,77.45,22,-4.0
586,30 Apr '18,TGT,1.88,Hold ,26,15.4,7.7,69.2,0.0,7.7,75.90,23,4.5
587,31 Jan '18,TGT,1.95,Hold ,28,14.3,3.6,71.4,0.0,10.7,74.29,24,-1.2
588,31 Oct '17,TGT,2.02,Hold ,26,11.5,3.8,69.2,0.0,15.4,59.99,23,1.6
589,31 Jul '17,TGT,2.10,Hold ,26,7.7,3.8,69.2,0.0,19.2,58.25,23,2.8
590,28 Apr '17,TGT,1.98,Hold ,28,14.3,3.6,67.9,0.0,14.3,59.20,24,6.0
591,31 Jan '17,TGT,1.89,Hold ,28,21.4,0.0,67.9,0.0,10.7,73.36,23,13.8
592,31 Oct '16,TGT,1.84,Hold ,28,21.4,3.6,67.9,0.0,7.1,73.35,21,6.7
593,29 Jul '16,TGT,1.80,Hold ,27,25.9,3.7,63.0,0.0,7.4,77.08,23,2.3
594,29 Apr '16,TGT,1.81,Hold ,27,25.9,0.0,66.7,0.0,7.4,83.43,23,4.9
595,29 Jan '16,TGT,1.67,Overweight ,27,37.0,0.0,59.3,0.0,3.7,81.29,24,12.2
596,30 Oct '15,TGT,1.73,Overweight ,26,30.8,0.0,65.4,0.0,3.8,84.18,22,9.1
597,31 Jul '15,TGT,1.78,Hold ,27,29.6,0.0,63.0,0.0,7.4,83.28,21,1.8
598,30 Apr '15,TGT,1.75,Hold ,28,32.1,0.0,60.7,0.0,7.1,80.59,22,2.2
599,30 Jan '15,TGT,1.83,Hold ,27,25.9,0.0,63.0,3.7,7.4,75.41,22,2.4
